two_wheelers,cars,buses,trucks,timestamp
221,312,26,49,2024-01-27 23:00:00
212,400,21,45,2024-01-28 00:00:00
246,327,27,53,2024-01-28 01:00:00
297,365,29,46,2024-01-28 02:00:00
289,358,24,48,2024-01-28 03:00:00
256,538,23,58,2024-01-28 04:00:00
241,441,20,59,2024-01-28 05:00:00
435,640,24,59,2024-01-28 06:00:00
853,1215,40,58,2024-01-28 07:00:00
904,1239,65,52,2024-01-28 08:00:00
948,1285,58,55,2024-01-28 09:00:00
407,670,42,73,2024-01-28 10:00:00
396,460,27,97,2024-01-28 11:00:00
373,626,33,42,2024-01-28 12:00:00
372,730,46,86,2024-01-28 13:00:00
394,628,41,79,2024-01-28 14:00:00
349,480,37,57,2024-01-28 15:00:00
322,573,39,76,2024-01-28 16:00:00
859,1359,63,58,2024-01-28 17:00:00
755,1192,46,55,2024-01-28 18:00:00
887,918,44,28,2024-01-28 19:00:00
161,488,27,64,2024-01-28 20:00:00
288,374,34,44,2024-01-28 21:00:00
276,277,16,51,2024-01-28 22:00:00
154,307,25,50,2024-01-28 23:00:00
348,724,36,64,2024-01-29 00:00:00
351,571,40,82,2024-01-29 01:00:00
306,598,35,73,2024-01-29 02:00:00
365,631,41,57,2024-01-29 03:00:00
371,916,49,105,2024-01-29 04:00:00
610,962,71,85,2024-01-29 05:00:00
597,1117,59,91,2024-01-29 06:00:00
1681,1764,74,85,2024-01-29 07:00:00
1669,2014,85,100,2024-01-29 08:00:00
1319,1570,89,101,2024-01-29 09:00:00
608,1290,48,143,2024-01-29 10:00:00
725,892,64,108,2024-01-29 11:00:00
556,1125,76,121,2024-01-29 12:00:00
748,903,55,133,2024-01-29 13:00:00
636,963,76,170,2024-01-29 14:00:00
599,889,68,125,2024-01-29 15:00:00
667,876,54,140,2024-01-29 16:00:00
1506,1661,83,91,2024-01-29 17:00:00
1239,1539,97,78,2024-01-29 18:00:00
1418,1740,80,74,2024-01-29 19:00:00
373,594,45,87,2024-01-29 20:00:00
451,682,40,90,2024-01-29 21:00:00
422,734,39,94,2024-01-29 22:00:00
355,550,34,78,2024-01-29 23:00:00
385,524,25,87,2024-01-30 00:00:00
303,576,49,64,2024-01-30 01:00:00
442,731,40,73,2024-01-30 02:00:00
402,681,44,74,2024-01-30 03:00:00
411,657,44,93,2024-01-30 04:00:00
560,831,43,92,2024-01-30 05:00:00
469,701,51,116,2024-01-30 06:00:00
1115,1994,64,78,2024-01-30 07:00:00
1156,2049,121,97,2024-01-30 08:00:00
1735,1941,78,112,2024-01-30 09:00:00
534,925,56,91,2024-01-30 10:00:00
855,939,63,178,2024-01-30 11:00:00
469,1179,81,131,2024-01-30 12:00:00
849,1282,68,94,2024-01-30 13:00:00
682,957,54,135,2024-01-30 14:00:00
627,1088,76,128,2024-01-30 15:00:00
554,663,67,119,2024-01-30 16:00:00
1498,1651,92,104,2024-01-30 17:00:00
1304,1671,87,93,2024-01-30 18:00:00
1410,1337,99,81,2024-01-30 19:00:00
454,613,59,95,2024-01-30 20:00:00
423,595,37,81,2024-01-30 21:00:00
367,649,48,98,2024-01-30 22:00:00
369,579,39,58,2024-01-30 23:00:00
385,391,40,75,2024-01-31 00:00:00
277,407,28,75,2024-01-31 01:00:00
310,566,38,87,2024-01-31 02:00:00
460,708,36,72,2024-01-31 03:00:00
458,420,50,66,2024-01-31 04:00:00
471,717,56,99,2024-01-31 05:00:00
527,774,36,110,2024-01-31 06:00:00
1489,2189,85,111,2024-01-31 07:00:00
1388,1822,106,78,2024-01-31 08:00:00
1406,2155,93,120,2024-01-31 09:00:00
681,1082,73,179,2024-01-31 10:00:00
578,738,71,128,2024-01-31 11:00:00
725,1219,72,110,2024-01-31 12:00:00
505,1119,65,127,2024-01-31 13:00:00
764,1140,54,133,2024-01-31 14:00:00
682,1619,53,138,2024-01-31 15:00:00
627,665,67,110,2024-01-31 16:00:00
1624,2281,85,112,2024-01-31 17:00:00
1642,1609,77,70,2024-01-31 18:00:00
1396,1618,68,57,2024-01-31 19:00:00
323,710,43,104,2024-01-31 20:00:00
335,620,48,55,2024-01-31 21:00:00
352,569,37,75,2024-01-31 22:00:00
375,627,30,110,2024-01-31 23:00:00
397,455,41,74,2024-02-01 00:00:00
333,665,36,62,2024-02-01 01:00:00
400,584,39,77,2024-02-01 02:00:00
368,551,51,82,2024-02-01 03:00:00
406,667,45,92,2024-02-01 04:00:00
383,923,51,107,2024-02-01 05:00:00
453,774,43,89,2024-02-01 06:00:00
1130,1912,82,114,2024-02-01 07:00:00
1291,1724,99,100,2024-02-01 08:00:00
1846,2273,73,113,2024-02-01 09:00:00
568,1170,68,120,2024-02-01 10:00:00
947,1387,69,162,2024-02-01 11:00:00
735,1066,69,132,2024-02-01 12:00:00
697,1195,78,141,2024-02-01 13:00:00
578,1076,70,114,2024-02-01 14:00:00
705,1219,78,108,2024-02-01 15:00:00
553,864,51,134,2024-02-01 16:00:00
1444,2017,87,85,2024-02-01 17:00:00
1821,1635,80,73,2024-02-01 18:00:00
1196,1538,61,70,2024-02-01 19:00:00
524,725,51,99,2024-02-01 20:00:00
371,688,56,75,2024-02-01 21:00:00
387,612,39,77,2024-02-01 22:00:00
473,617,40,75,2024-02-01 23:00:00
334,730,37,53,2024-02-02 00:00:00
476,687,33,58,2024-02-02 01:00:00
431,705,28,82,2024-02-02 02:00:00
380,619,37,74,2024-02-02 03:00:00
490,621,35,104,2024-02-02 04:00:00
557,889,61,111,2024-02-02 05:00:00
576,954,52,117,2024-02-02 06:00:00
1085,2218,81,116,2024-02-02 07:00:00
1350,1763,103,96,2024-02-02 08:00:00
1537,1973,80,112,2024-02-02 09:00:00
656,801,59,121,2024-02-02 10:00:00
743,1023,69,186,2024-02-02 11:00:00
703,1260,79,178,2024-02-02 12:00:00
543,1011,73,136,2024-02-02 13:00:00
702,1164,69,140,2024-02-02 14:00:00
697,993,65,154,2024-02-02 15:00:00
657,1017,64,119,2024-02-02 16:00:00
1650,1504,88,82,2024-02-02 17:00:00
1482,1708,67,95,2024-02-02 18:00:00
1299,857,73,79,2024-02-02 19:00:00
443,696,38,92,2024-02-02 20:00:00
312,502,42,73,2024-02-02 21:00:00
415,737,36,58,2024-02-02 22:00:00
386,669,52,77,2024-02-02 23:00:00
231,379,22,50,2024-02-03 00:00:00
182,442,18,43,2024-02-03 01:00:00
196,322,23,57,2024-02-03 02:00:00
289,504,27,45,2024-02-03 03:00:00
267,491,34,45,2024-02-03 04:00:00
322,451,27,58,2024-02-03 05:00:00
318,593,24,63,2024-02-03 06:00:00
857,911,57,61,2024-02-03 07:00:00
1038,1021,43,51,2024-02-03 08:00:00
885,1116,54,74,2024-02-03 09:00:00
405,587,38,103,2024-02-03 10:00:00
380,550,40,81,2024-02-03 11:00:00
385,779,45,98,2024-02-03 12:00:00
389,628,37,69,2024-02-03 13:00:00
412,672,38,93,2024-02-03 14:00:00
356,561,38,89,2024-02-03 15:00:00
433,423,37,82,2024-02-03 16:00:00
738,1136,52,54,2024-02-03 17:00:00
769,722,51,28,2024-02-03 18:00:00
682,925,49,42,2024-02-03 19:00:00
327,342,28,49,2024-02-03 20:00:00
257,518,27,43,2024-02-03 21:00:00
271,426,18,48,2024-02-03 22:00:00
175,365,23,42,2024-02-03 23:00:00
231,422,24,39,2024-02-04 00:00:00
255,314,25,38,2024-02-04 01:00:00
238,406,21,42,2024-02-04 02:00:00
290,412,23,58,2024-02-04 03:00:00
249,448,25,49,2024-02-04 04:00:00
354,557,32,54,2024-02-04 05:00:00
426,563,37,59,2024-02-04 06:00:00
808,1141,48,57,2024-02-04 07:00:00
850,877,62,62,2024-02-04 08:00:00
1170,1053,59,33,2024-02-04 09:00:00
494,627,39,92,2024-02-04 10:00:00
377,663,40,99,2024-02-04 11:00:00
386,548,46,69,2024-02-04 12:00:00
392,891,43,70,2024-02-04 13:00:00
319,784,54,74,2024-02-04 14:00:00
331,670,34,68,2024-02-04 15:00:00
310,590,39,75,2024-02-04 16:00:00
756,1058,47,39,2024-02-04 17:00:00
788,870,41,42,2024-02-04 18:00:00
757,947,44,58,2024-02-04 19:00:00
332,448,28,46,2024-02-04 20:00:00
212,325,36,59,2024-02-04 21:00:00
269,394,23,49,2024-02-04 22:00:00
218,352,19,33,2024-02-04 23:00:00
368,423,39,81,2024-02-05 00:00:00
414,524,26,74,2024-02-05 01:00:00
326,588,39,73,2024-02-05 02:00:00
441,856,42,86,2024-02-05 03:00:00
461,780,50,96,2024-02-05 04:00:00
524,624,56,108,2024-02-05 05:00:00
552,908,49,125,2024-02-05 06:00:00
1950,1401,84,97,2024-02-05 07:00:00
1375,2263,81,77,2024-02-05 08:00:00
1475,1907,80,95,2024-02-05 09:00:00
604,1051,70,192,2024-02-05 10:00:00
625,1309,55,151,2024-02-05 11:00:00
622,888,64,186,2024-02-05 12:00:00
804,863,58,165,2024-02-05 13:00:00
809,973,72,138,2024-02-05 14:00:00
586,1186,81,134,2024-02-05 15:00:00
532,752,49,121,2024-02-05 16:00:00
1526,1049,62,67,2024-02-05 17:00:00
1213,1578,78,85,2024-02-05 18:00:00
1336,1691,73,92,2024-02-05 19:00:00
463,849,46,82,2024-02-05 20:00:00
322,621,39,89,2024-02-05 21:00:00
482,588,38,88,2024-02-05 22:00:00
477,705,40,65,2024-02-05 23:00:00
337,427,43,69,2024-02-06 00:00:00
354,567,27,64,2024-02-06 01:00:00
409,645,37,69,2024-02-06 02:00:00
438,713,43,67,2024-02-06 03:00:00
495,665,39,78,2024-02-06 04:00:00
636,786,62,119,2024-02-06 05:00:00
516,531,48,91,2024-02-06 06:00:00
1256,1646,85,93,2024-02-06 07:00:00
1208,2082,99,90,2024-02-06 08:00:00
1429,1752,88,121,2024-02-06 09:00:00
664,1077,48,160,2024-02-06 10:00:00
867,1166,64,154,2024-02-06 11:00:00
635,1045,79,144,2024-02-06 12:00:00
706,1121,65,132,2024-02-06 13:00:00
666,914,58,110,2024-02-06 14:00:00
757,996,73,166,2024-02-06 15:00:00
840,1064,58,108,2024-02-06 16:00:00
1314,1870,79,100,2024-02-06 17:00:00
1227,1546,81,98,2024-02-06 18:00:00
1413,1616,82,72,2024-02-06 19:00:00
496,798,61,104,2024-02-06 20:00:00
533,462,47,93,2024-02-06 21:00:00
426,736,46,99,2024-02-06 22:00:00
356,572,35,70,2024-02-06 23:00:00
404,632,31,60,2024-02-07 00:00:00
439,711,38,70,2024-02-07 01:00:00
441,499,40,81,2024-02-07 02:00:00
450,597,35,84,2024-02-07 03:00:00
523,690,44,85,2024-02-07 04:00:00
575,691,52,70,2024-02-07 05:00:00
640,1070,56,114,2024-02-07 06:00:00
1568,1594,92,119,2024-02-07 07:00:00
1487,1789,95,104,2024-02-07 08:00:00
1643,2120,89,112,2024-02-07 09:00:00
789,876,62,145,2024-02-07 10:00:00
600,1030,56,145,2024-02-07 11:00:00
728,1156,87,157,2024-02-07 12:00:00
644,1040,69,145,2024-02-07 13:00:00
671,1054,65,127,2024-02-07 14:00:00
766,947,55,113,2024-02-07 15:00:00
627,754,88,117,2024-02-07 16:00:00
1439,1917,72,96,2024-02-07 17:00:00
1056,2144,74,81,2024-02-07 18:00:00
1360,1570,78,82,2024-02-07 19:00:00
495,746,49,96,2024-02-07 20:00:00
554,738,48,94,2024-02-07 21:00:00
374,509,50,94,2024-02-07 22:00:00
389,757,41,76,2024-02-07 23:00:00
386,613,31,60,2024-02-08 00:00:00
466,751,36,72,2024-02-08 01:00:00
387,560,41,79,2024-02-08 02:00:00
436,852,55,61,2024-02-08 03:00:00
493,806,36,109,2024-02-08 04:00:00
504,849,58,100,2024-02-08 05:00:00
496,880,55,112,2024-02-08 06:00:00
1473,1763,97,110,2024-02-08 07:00:00
1773,2306,90,88,2024-02-08 08:00:00
1362,2103,84,112,2024-02-08 09:00:00
682,755,74,132,2024-02-08 10:00:00
613,912,75,133,2024-02-08 11:00:00
814,1074,79,122,2024-02-08 12:00:00
528,1147,68,171,2024-02-08 13:00:00
613,1061,61,126,2024-02-08 14:00:00
680,1218,49,142,2024-02-08 15:00:00
754,691,69,88,2024-02-08 16:00:00
1417,1871,91,108,2024-02-08 17:00:00
1217,1236,68,98,2024-02-08 18:00:00
1570,1746,68,80,2024-02-08 19:00:00
353,712,42,87,2024-02-08 20:00:00
280,712,33,89,2024-02-08 21:00:00
419,547,34,106,2024-02-08 22:00:00
349,719,31,55,2024-02-08 23:00:00
315,689,35,83,2024-02-09 00:00:00
418,657,34,65,2024-02-09 01:00:00
408,618,30,78,2024-02-09 02:00:00
384,729,55,81,2024-02-09 03:00:00
365,647,54,85,2024-02-09 04:00:00
555,885,43,98,2024-02-09 05:00:00
584,1061,55,88,2024-02-09 06:00:00
1411,2128,91,106,2024-02-09 07:00:00
1952,1743,108,72,2024-02-09 08:00:00
1353,2174,85,111,2024-02-09 09:00:00
517,864,78,127,2024-02-09 10:00:00
615,1192,63,113,2024-02-09 11:00:00
687,1181,55,142,2024-02-09 12:00:00
711,790,76,105,2024-02-09 13:00:00
646,885,80,135,2024-02-09 14:00:00
679,988,89,101,2024-02-09 15:00:00
497,934,50,131,2024-02-09 16:00:00
1743,1501,95,79,2024-02-09 17:00:00
1313,1801,75,79,2024-02-09 18:00:00
1432,1629,82,82,2024-02-09 19:00:00
475,702,35,80,2024-02-09 20:00:00
448,594,34,83,2024-02-09 21:00:00
427,729,35,61,2024-02-09 22:00:00
403,754,38,83,2024-02-09 23:00:00
245,332,20,57,2024-02-10 00:00:00
272,330,25,64,2024-02-10 01:00:00
243,406,27,48,2024-02-10 02:00:00
278,381,27,56,2024-02-10 03:00:00
268,425,34,40,2024-02-10 04:00:00
358,524,31,72,2024-02-10 05:00:00
287,365,26,71,2024-02-10 06:00:00
1093,1319,62,51,2024-02-10 07:00:00
913,1188,50,70,2024-02-10 08:00:00
760,1163,66,60,2024-02-10 09:00:00
410,635,50,75,2024-02-10 10:00:00
370,656,44,88,2024-02-10 11:00:00
468,492,32,70,2024-02-10 12:00:00
372,807,36,95,2024-02-10 13:00:00
376,648,48,68,2024-02-10 14:00:00
277,661,38,65,2024-02-10 15:00:00
342,672,37,63,2024-02-10 16:00:00
548,933,58,61,2024-02-10 17:00:00
609,1095,53,46,2024-02-10 18:00:00
821,905,46,38,2024-02-10 19:00:00
304,490,26,49,2024-02-10 20:00:00
268,274,24,50,2024-02-10 21:00:00
202,373,27,39,2024-02-10 22:00:00
225,330,25,38,2024-02-10 23:00:00
224,381,22,59,2024-02-11 00:00:00
188,389,26,40,2024-02-11 01:00:00
290,339,23,45,2024-02-11 02:00:00
285,360,22,48,2024-02-11 03:00:00
263,428,24,51,2024-02-11 04:00:00
296,409,25,65,2024-02-11 05:00:00
330,576,31,73,2024-02-11 06:00:00
598,1042,61,53,2024-02-11 07:00:00
885,664,49,48,2024-02-11 08:00:00
870,1171,60,74,2024-02-11 09:00:00
342,544,36,79,2024-02-11 10:00:00
395,499,40,104,2024-02-11 11:00:00
528,542,32,55,2024-02-11 12:00:00
452,671,40,85,2024-02-11 13:00:00
368,773,39,104,2024-02-11 14:00:00
421,649,42,73,2024-02-11 15:00:00
445,535,38,71,2024-02-11 16:00:00
981,1178,42,58,2024-02-11 17:00:00
807,953,56,47,2024-02-11 18:00:00
666,846,46,45,2024-02-11 19:00:00
300,360,28,52,2024-02-11 20:00:00
267,297,25,46,2024-02-11 21:00:00
269,357,22,56,2024-02-11 22:00:00
249,372,23,49,2024-02-11 23:00:00
432,589,40,78,2024-02-12 00:00:00
349,569,28,85,2024-02-12 01:00:00
473,542,36,76,2024-02-12 02:00:00
433,734,40,74,2024-02-12 03:00:00
595,582,47,83,2024-02-12 04:00:00
441,879,58,98,2024-02-12 05:00:00
673,726,47,90,2024-02-12 06:00:00
1481,1633,80,85,2024-02-12 07:00:00
1385,1532,85,91,2024-02-12 08:00:00
1500,1915,85,136,2024-02-12 09:00:00
640,1233,64,79,2024-02-12 10:00:00
732,1187,77,134,2024-02-12 11:00:00
748,1273,58,175,2024-02-12 12:00:00
629,1188,73,140,2024-02-12 13:00:00
670,898,50,150,2024-02-12 14:00:00
855,984,59,131,2024-02-12 15:00:00
773,867,58,110,2024-02-12 16:00:00
1532,2208,108,61,2024-02-12 17:00:00
1342,1401,77,88,2024-02-12 18:00:00
1253,1786,49,70,2024-02-12 19:00:00
495,823,32,80,2024-02-12 20:00:00
356,857,42,78,2024-02-12 21:00:00
380,593,43,100,2024-02-12 22:00:00
284,671,40,103,2024-02-12 23:00:00
396,803,38,77,2024-02-13 00:00:00
416,551,45,71,2024-02-13 01:00:00
367,487,36,65,2024-02-13 02:00:00
520,484,48,90,2024-02-13 03:00:00
371,804,34,115,2024-02-13 04:00:00
385,566,43,95,2024-02-13 05:00:00
552,807,39,69,2024-02-13 06:00:00
1666,1964,83,101,2024-02-13 07:00:00
1924,2021,92,113,2024-02-13 08:00:00
1508,2205,99,79,2024-02-13 09:00:00
782,1113,68,138,2024-02-13 10:00:00
685,1314,59,147,2024-02-13 11:00:00
677,953,67,137,2024-02-13 12:00:00
781,991,53,121,2024-02-13 13:00:00
739,952,81,155,2024-02-13 14:00:00
495,1165,62,122,2024-02-13 15:00:00
751,1116,57,96,2024-02-13 16:00:00
1738,1967,107,64,2024-02-13 17:00:00
1211,2013,65,102,2024-02-13 18:00:00
1305,1298,61,86,2024-02-13 19:00:00
488,908,38,92,2024-02-13 20:00:00
437,828,42,79,2024-02-13 21:00:00
363,703,42,73,2024-02-13 22:00:00
341,770,42,64,2024-02-13 23:00:00
373,450,52,70,2024-02-14 00:00:00
447,560,25,52,2024-02-14 01:00:00
428,564,43,70,2024-02-14 02:00:00
398,747,39,80,2024-02-14 03:00:00
507,613,41,99,2024-02-14 04:00:00
283,879,45,98,2024-02-14 05:00:00
627,1032,46,120,2024-02-14 06:00:00
1065,2037,108,111,2024-02-14 07:00:00
1454,2052,104,114,2024-02-14 08:00:00
1349,1768,98,111,2024-02-14 09:00:00
543,941,81,135,2024-02-14 10:00:00
810,1311,53,118,2024-02-14 11:00:00
647,1243,56,155,2024-02-14 12:00:00
726,1098,46,173,2024-02-14 13:00:00
669,1011,60,142,2024-02-14 14:00:00
695,722,66,167,2024-02-14 15:00:00
622,826,62,95,2024-02-14 16:00:00
1164,2374,88,76,2024-02-14 17:00:00
1537,1383,63,97,2024-02-14 18:00:00
1142,1624,83,82,2024-02-14 19:00:00
349,838,47,109,2024-02-14 20:00:00
394,547,47,84,2024-02-14 21:00:00
485,651,28,69,2024-02-14 22:00:00
428,693,40,74,2024-02-14 23:00:00
355,601,31,58,2024-02-15 00:00:00
360,870,36,63,2024-02-15 01:00:00
377,476,43,91,2024-02-15 02:00:00
553,782,43,95,2024-02-15 03:00:00
481,710,40,96,2024-02-15 04:00:00
526,882,49,73,2024-02-15 05:00:00
618,914,41,101,2024-02-15 06:00:00
1495,1644,102,75,2024-02-15 07:00:00
1480,2039,90,116,2024-02-15 08:00:00
1575,1498,114,95,2024-02-15 09:00:00
667,1177,62,113,2024-02-15 10:00:00
687,1155,64,139,2024-02-15 11:00:00
772,1221,62,126,2024-02-15 12:00:00
696,1281,78,169,2024-02-15 13:00:00
749,1139,60,120,2024-02-15 14:00:00
641,1062,71,103,2024-02-15 15:00:00
623,855,58,83,2024-02-15 16:00:00
1010,1650,61,92,2024-02-15 17:00:00
1523,2019,73,78,2024-02-15 18:00:00
1299,1921,61,62,2024-02-15 19:00:00
523,702,46,107,2024-02-15 20:00:00
239,680,35,93,2024-02-15 21:00:00
521,548,45,79,2024-02-15 22:00:00
372,716,38,92,2024-02-15 23:00:00
438,660,37,83,2024-02-16 00:00:00
321,787,42,67,2024-02-16 01:00:00
433,551,45,67,2024-02-16 02:00:00
356,638,42,95,2024-02-16 03:00:00
413,755,40,97,2024-02-16 04:00:00
637,868,36,101,2024-02-16 05:00:00
521,830,48,94,2024-02-16 06:00:00
1492,1607,79,101,2024-02-16 07:00:00
1743,2234,94,87,2024-02-16 08:00:00
1746,2305,92,102,2024-02-16 09:00:00
691,932,75,164,2024-02-16 10:00:00
729,1331,63,125,2024-02-16 11:00:00
948,1311,69,107,2024-02-16 12:00:00
686,1129,81,116,2024-02-16 13:00:00
696,1094,71,155,2024-02-16 14:00:00
752,1126,64,135,2024-02-16 15:00:00
719,859,56,121,2024-02-16 16:00:00
1702,1857,78,85,2024-02-16 17:00:00
1469,1162,70,92,2024-02-16 18:00:00
1024,1791,68,69,2024-02-16 19:00:00
567,558,51,95,2024-02-16 20:00:00
350,828,41,75,2024-02-16 21:00:00
415,604,32,69,2024-02-16 22:00:00
338,590,48,69,2024-02-16 23:00:00
223,327,24,43,2024-02-17 00:00:00
240,350,18,45,2024-02-17 01:00:00
250,463,22,49,2024-02-17 02:00:00
270,254,26,23,2024-02-17 03:00:00
340,522,34,48,2024-02-17 04:00:00
317,499,25,56,2024-02-17 05:00:00
310,422,37,79,2024-02-17 06:00:00
993,931,63,47,2024-02-17 07:00:00
1091,1483,50,61,2024-02-17 08:00:00
796,1072,56,76,2024-02-17 09:00:00
442,537,34,65,2024-02-17 10:00:00
459,778,40,88,2024-02-17 11:00:00
400,704,42,74,2024-02-17 12:00:00
501,571,46,77,2024-02-17 13:00:00
397,670,47,71,2024-02-17 14:00:00
398,529,35,70,2024-02-17 15:00:00
361,690,26,104,2024-02-17 16:00:00
870,1287,52,63,2024-02-17 17:00:00
673,1113,50,60,2024-02-17 18:00:00
582,1002,46,51,2024-02-17 19:00:00
339,554,26,42,2024-02-17 20:00:00
222,406,26,54,2024-02-17 21:00:00
203,314,29,55,2024-02-17 22:00:00
155,391,24,40,2024-02-17 23:00:00
204,474,21,52,2024-02-18 00:00:00
184,311,21,51,2024-02-18 01:00:00
297,361,23,61,2024-02-18 02:00:00
292,432,32,48,2024-02-18 03:00:00
246,435,27,46,2024-02-18 04:00:00
398,406,30,56,2024-02-18 05:00:00
370,603,30,78,2024-02-18 06:00:00
826,1499,61,40,2024-02-18 07:00:00
579,1221,72,41,2024-02-18 08:00:00
1313,1081,63,63,2024-02-18 09:00:00
322,499,41,76,2024-02-18 10:00:00
313,691,42,83,2024-02-18 11:00:00
483,782,27,96,2024-02-18 12:00:00
568,713,46,76,2024-02-18 13:00:00
491,650,41,58,2024-02-18 14:00:00
424,570,42,102,2024-02-18 15:00:00
404,496,33,63,2024-02-18 16:00:00
980,1251,49,47,2024-02-18 17:00:00
898,1173,45,60,2024-02-18 18:00:00
775,731,51,45,2024-02-18 19:00:00
278,543,26,54,2024-02-18 20:00:00
252,441,33,54,2024-02-18 21:00:00
212,462,25,55,2024-02-18 22:00:00
219,293,19,44,2024-02-18 23:00:00
281,479,37,92,2024-02-19 00:00:00
376,598,34,52,2024-02-19 01:00:00
339,685,27,89,2024-02-19 02:00:00
354,861,53,74,2024-02-19 03:00:00
470,809,51,110,2024-02-19 04:00:00
600,765,54,101,2024-02-19 05:00:00
612,728,55,97,2024-02-19 06:00:00
1108,2197,69,102,2024-02-19 07:00:00
1317,1693,86,112,2024-02-19 08:00:00
1860,2596,110,114,2024-02-19 09:00:00
578,1038,57,115,2024-02-19 10:00:00
670,1375,43,129,2024-02-19 11:00:00
757,1233,68,140,2024-02-19 12:00:00
593,1087,68,138,2024-02-19 13:00:00
688,1000,69,151,2024-02-19 14:00:00
522,990,72,91,2024-02-19 15:00:00
563,1053,68,130,2024-02-19 16:00:00
1519,1876,90,89,2024-02-19 17:00:00
1023,1568,95,75,2024-02-19 18:00:00
1322,1548,57,71,2024-02-19 19:00:00
456,740,49,89,2024-02-19 20:00:00
459,462,46,39,2024-02-19 21:00:00
412,681,32,71,2024-02-19 22:00:00
460,521,30,66,2024-02-19 23:00:00
384,499,33,81,2024-02-20 00:00:00
358,457,34,67,2024-02-20 01:00:00
406,466,44,77,2024-02-20 02:00:00
459,541,39,104,2024-02-20 03:00:00
461,654,40,105,2024-02-20 04:00:00
500,1027,45,113,2024-02-20 05:00:00
482,794,63,100,2024-02-20 06:00:00
1306,1906,87,100,2024-02-20 07:00:00
1222,2101,90,96,2024-02-20 08:00:00
2060,2130,96,101,2024-02-20 09:00:00
552,1073,81,144,2024-02-20 10:00:00
622,912,62,126,2024-02-20 11:00:00
625,1364,84,171,2024-02-20 12:00:00
788,1412,72,136,2024-02-20 13:00:00
648,811,66,148,2024-02-20 14:00:00
775,884,90,159,2024-02-20 15:00:00
557,949,52,143,2024-02-20 16:00:00
1511,1588,82,73,2024-02-20 17:00:00
1177,1854,66,92,2024-02-20 18:00:00
1641,1416,85,90,2024-02-20 19:00:00
376,970,57,104,2024-02-20 20:00:00
444,800,53,71,2024-02-20 21:00:00
436,658,47,72,2024-02-20 22:00:00
406,706,37,88,2024-02-20 23:00:00
367,704,36,67,2024-02-21 00:00:00
375,561,29,73,2024-02-21 01:00:00
402,560,52,99,2024-02-21 02:00:00
415,687,45,84,2024-02-21 03:00:00
524,828,42,82,2024-02-21 04:00:00
662,812,60,86,2024-02-21 05:00:00
494,658,46,113,2024-02-21 06:00:00
1154,1635,92,74,2024-02-21 07:00:00
1529,1962,91,95,2024-02-21 08:00:00
2265,2067,107,110,2024-02-21 09:00:00
597,1408,67,162,2024-02-21 10:00:00
866,881,54,153,2024-02-21 11:00:00
877,1206,71,125,2024-02-21 12:00:00
637,1361,80,164,2024-02-21 13:00:00
737,1457,68,130,2024-02-21 14:00:00
813,982,73,106,2024-02-21 15:00:00
585,1065,52,121,2024-02-21 16:00:00
1408,2018,87,113,2024-02-21 17:00:00
1230,1775,73,88,2024-02-21 18:00:00
1054,1567,83,80,2024-02-21 19:00:00
414,781,46,114,2024-02-21 20:00:00
347,421,47,67,2024-02-21 21:00:00
401,704,46,64,2024-02-21 22:00:00
339,624,42,58,2024-02-21 23:00:00
391,584,39,80,2024-02-22 00:00:00
294,801,33,79,2024-02-22 01:00:00
419,574,40,98,2024-02-22 02:00:00
478,639,39,88,2024-02-22 03:00:00
321,953,43,86,2024-02-22 04:00:00
526,697,47,100,2024-02-22 05:00:00
639,792,46,110,2024-02-22 06:00:00
1190,1820,62,70,2024-02-22 07:00:00
1940,2236,84,140,2024-02-22 08:00:00
1738,2158,101,113,2024-02-22 09:00:00
608,877,54,140,2024-02-22 10:00:00
690,1025,70,152,2024-02-22 11:00:00
760,1020,90,155,2024-02-22 12:00:00
704,1101,80,136,2024-02-22 13:00:00
735,1157,85,123,2024-02-22 14:00:00
564,1112,69,143,2024-02-22 15:00:00
636,728,73,131,2024-02-22 16:00:00
1145,2158,78,82,2024-02-22 17:00:00
1326,1792,73,105,2024-02-22 18:00:00
1075,1923,44,83,2024-02-22 19:00:00
408,783,54,102,2024-02-22 20:00:00
504,793,52,103,2024-02-22 21:00:00
465,684,37,80,2024-02-22 22:00:00
418,737,37,80,2024-02-22 23:00:00
316,652,34,85,2024-02-23 00:00:00
365,605,41,68,2024-02-23 01:00:00
472,858,47,81,2024-02-23 02:00:00
435,772,31,87,2024-02-23 03:00:00
619,798,49,79,2024-02-23 04:00:00
528,644,48,134,2024-02-23 05:00:00
556,697,55,85,2024-02-23 06:00:00
1388,1944,93,75,2024-02-23 07:00:00
1584,2031,91,119,2024-02-23 08:00:00
1599,1902,97,116,2024-02-23 09:00:00
753,1112,66,115,2024-02-23 10:00:00
797,1380,80,152,2024-02-23 11:00:00
619,1241,75,171,2024-02-23 12:00:00
557,924,72,139,2024-02-23 13:00:00
493,1070,55,189,2024-02-23 14:00:00
705,921,62,97,2024-02-23 15:00:00
518,936,70,137,2024-02-23 16:00:00
985,1747,88,109,2024-02-23 17:00:00
1429,1604,89,98,2024-02-23 18:00:00
1711,1294,95,77,2024-02-23 19:00:00
459,720,53,88,2024-02-23 20:00:00
479,624,43,91,2024-02-23 21:00:00
405,359,37,90,2024-02-23 22:00:00
